,User,Date Created,Number of Likes,Source of Tweet,Tweet
0,busari_jelili,2023-01-01 23:45:22+00:00,0,Twitter Web App,@lekky29 @Mr_JAGs @jidesanwoolu @ppplagos @olumide_sogunle @Riddwane @gboyegaakosile @gbenga_omo @LASGWorks @ramadeyo @OlusesanDaini Are you sure
1,lekky29,2023-01-01 23:44:09+00:00,0,Twitter for Android,"@busari_jelili @Mr_JAGs @jidesanwoolu @ppplagos @olumide_sogunle @Riddwane @gboyegaakosile @gbenga_omo @LASGWorks @ramadeyo @OlusesanDaini I think one tunnel project would come on board soon, egbeda-shasha link to airport ikeja Road."
2,jekwedike,2023-01-01 23:43:48+00:00,0,Twitter for Android,"@vanguardngrnews I beg you gov @jidesanwoolu, awards those kids scholarships to any level at any school of their choice."
3,Austinogbili,2023-01-01 23:39:57+00:00,0,Twitter for Android,"@jidesanwoolu Mr governor Sir, I need your help. No food for celebrating with family. 0074698582 sterling bank. Austin Ogbili"
4,Prince61299974,2023-01-01 23:21:35+00:00,0,Twitter for Android,@akerele_s @officialABAT @OfficialAPCNg @APCUKingdom @KemPatriot @jidesanwoolu Ole onijekuje oje aiye omo e mo election iku pa
5,MzDual,2023-01-01 22:56:35+00:00,12,Twitter for Android,"The executive governor of Lagos State, HE @jidesanwoolu will be live on Your View program on TVC, 

Date: January 2nd 2023
Time: 9:30am. 

Kindly TUNE IN.
DSTV Channel: 418.
STARTIMES: CH 121.
#ForAGreaterLagos #SanwoAgain #SanwoLekansi https://t.co/4adW4cAAp9"
6,msmocrown,2023-01-01 22:56:00+00:00,0,Twitter for iPhone,@laoluojed @jidesanwoolu Great minds think alike
7,_chiefagbabiaka,2023-01-01 22:55:53+00:00,0,Twitter for Android,"The governor of Lagos State, HE @jidesanwoolu will be live on Your View program on TVC, 

Date: January 2nd 2023
Time: 9:30am. 

Kindly TUNE IN.
DSTV Channel: 418.
STARTIMES: CH 121.
 #SanwoAgain #SanwoLekansi https://t.co/heNwJYfVEk"
8,ogbenibabalola,2023-01-01 22:46:45+00:00,2,Twitter for Android,"@vasnioak @LeonardoOkojie @jidesanwoolu In the eye of a caveman, everyone comes from a cave!"
9,ogbenibabalola,2023-01-01 22:45:11+00:00,0,Twitter for Android,"@factfactos @IEzeugonnaya @LeonardoOkojie @jidesanwoolu It is the problem we caused for ourselves actually. Lost souls who won't even welcome you where they come from are raising a stake in Lagos. If you don't allow them, they want to see it destroyed."
10,COfficialOgbeni,2023-01-01 22:44:21+00:00,7,Twitter for Android,"32. @ayomidedurojay2

33. @TheresaTekenah

34. @doyinokupe

35. @Yeribabaa

36. @OlatunjiArije

37. @ajhibholar85

38. @jidesanwoolu

39. @adamumusakanam1

40. @Justice__1994

41. @tajudine2013gm2

42. @mrlurvy

43. @sk_yusuf2

44. @hand2ome

45. @King_AweKay"
11,ogbenibabalola,2023-01-01 22:42:30+00:00,0,Twitter for Android,@Kings_CEO @LeonardoOkojie @jidesanwoolu Same language you use for your parents shouldn't be for everyone out there. Restrict it to the home front.
12,OnwuegbunaR1,2023-01-01 22:37:41+00:00,0,Twitter for Android,"@jidesanwoolu Ur Excellency,I recently saw a video of  U accepting small chops in the public space; that Sir,is a significant vulnerability that can be exploited by people with bad intentions.Avoid such spontaneous reaction.U can show favour 2 people without subjecting urself to avoidable risk"
13,CokerGrace4,2023-01-01 22:27:27+00:00,2,Twitter for iPhone,@tomakinta @officialABAT @OfficialAPCNg @Sanwoolu_Hamzat @jidesanwoolu JANDOR is taking over. #vote4jandor
14,dmightyangel,2023-01-01 22:24:55+00:00,7,Twitter Web App,"Governor @jidesanwoolu will be on Your View program on @tvcnewsng tomorrow January 2nd 2023 by 9:30am  

We go watch am!

DSTV Channel: 418 

STARTIMES: CH 121 

#ForAGreaterLagos https://t.co/Xq1fSjIiVT"
