,User,Date Created,Number of Likes,Source of Tweet,Tweet
0,Sanya_oluwafemi,2023-01-01 23:57:56+00:00,0,Twitter for Android,@Ashibuoguh @toyosi2405 @GRVlagos I don't even understand this people...
1,LUSTGARDEN2,2023-01-01 22:52:18+00:00,0,Twitter for Android,"@Nizzy_dee @CrushunYoo @MuhyideenOlowo @MerijeOkoro @tobehenry @GRVlagos @GRVlagos2023 We are talking about objective political discussion, you are talking about followers, I am not dragging twitter space with you, but your intellectual capacity to engage in political discussion with out recourse to tribal sentiment, intimidation and bigotry is so glaring.shif jare"
2,LUSTGARDEN2,2023-01-01 22:49:33+00:00,0,Twitter for Android,"@Nizzy_dee @MuhyideenOlowo @CrushunYoo @MerijeOkoro @tobehenry @GRVlagos @GRVlagos2023 Which respect of territory, as a Nigerian citizen everybody has the right to live anywhere, once you  abide by the Nigerian law and to an extent the Norms of the community, so what's your noise about. Respecting territory. I have told you if it's easy Run am."
3,LUSTGARDEN2,2023-01-01 22:47:00+00:00,0,Twitter for Android,"@Nizzy_dee @CrushunYoo @MuhyideenOlowo @MerijeOkoro @tobehenry @GRVlagos @GRVlagos2023 His descendants still leaves in Enugu and nobody is chasing them, is balless envious bigots like you that go about talking nonsense, when they don't have the guts to go beyond boundaries and establish anything  you think it's easy. If it's easy Run am nahh."
4,LUSTGARDEN2,2023-01-01 22:45:04+00:00,0,Twitter for Android,"@Nizzy_dee @CrushunYoo @MuhyideenOlowo @MerijeOkoro @tobehenry @GRVlagos @GRVlagos2023 That's why I said your argument is senseless filled with Hate and assumptions,did you travel to igbo land and you were not welcomed,the simple fact is that the Igbos are the most travelled in Nigeria, followed by the Fulanis,told you about a Yoruba man who has properties in Enugu"
5,Beckvibes2,2023-01-01 22:27:01+00:00,1,Twitter for Android,"@jorlanchi @JamiuAlapo @GRVlagos Lazy yorubas everywhere.... Wayward grown-ups, I pity those under-19 youths that BAThing has employed to destroy their future. Small boys under the god of iron oath. It's a pity that all sectors are corrupt in Lagos, they use every opportunity to extort money from people."
6,OnafowokanG,2023-01-01 21:58:14+00:00,0,Twitter for Android,@mouth_razor @UnclePamilerin @GRVlagos @JanDor How
7,EmmanuelAkpata6,2023-01-01 21:41:23+00:00,0,Twitter for Android,"@obidient_yusufu @GRVlagos There is every possibility obi will win Lagos, but GRV is not working... He just has to put up little work to consolidate on Obi's influence... As for Lagos, obi is likely to win Lagos"
8,jorlanchi,2023-01-01 20:26:03+00:00,1,Twitter for iPhone,"@JamiuAlapo @Beckvibes2 @GRVlagos If they burnt down BRT buses, u can’t hold them to it cos pple are frustrated with the govt. I know how this govt frustrated my business in Lagos! Sending diff tout to come collect money they never made"
9,jorlanchi,2023-01-01 20:21:58+00:00,0,Twitter for iPhone,"@JamiuAlapo @Beckvibes2 @GRVlagos Is he the only one that single handedly burnt down the BRT bus? Or na person way police catch? Don’t talk with sentiments my brother, I talk publicly after certifying that I have verified the tins I need to know"
