,User,Date Created,Number of Likes,Source of Tweet,Tweet
0,tanimolaolawal1,2023-01-01 23:59:17+00:00,1,Twitter for Android,@officialjandor There is no way a state will be under the grip of one man and still make 51B IGR monthly. You are pushing a narrative that Lagos isn't working yet lag is is the best in Nigeria and 5th in Africa. Use another style bxoa this is DOA.
1,kayodelewu,2023-01-01 23:38:56+00:00,0,Twitter for iPhone,@officialjandor Rest jare
2,Omobolaj_A_Star,2023-01-01 23:32:39+00:00,0,Twitter for Android,@CokerGrace4 @adedstv @officialjandor 37th governor of Lagos state.🚶🚶🚶🚶
3,atanda71,2023-01-01 23:14:02+00:00,4,Twitter for iPhone,@officialjandor Your deputy gave more attention advertising her new film 🎥 than this election 🗳️ 😁😁😁😁😁😁
4,tadeb130,2023-01-01 22:35:40+00:00,0,Twitter for Android,"@officialjandor This is why nobody takes you serious.
Bringing hate to politics will only hurt you and your ambition and not your target person."
5,olubenx10,2023-01-01 22:26:54+00:00,0,Twitter for Android,@officialjandor Lol.. You're really funny sha 😂
6,NemesisMiKens,2023-01-01 22:26:39+00:00,1,Twitter for Android,"@officialjandor Stale and gibberish propaganda, be creative and try something new. This one has expired!"
7,Dman_anonymous,2023-01-01 22:20:42+00:00,1,Twitter for iPhone,@adedstv @officialjandor Na why you still dey fix dstv
8,OyesileJohn,2023-01-01 21:40:08+00:00,6,Twitter for Android,"@iconictskwears4 @officialjandor No be only brake, clutch nko?

Olodo following olodo"
9,Osas_ThePlug,2023-01-01 21:10:53+00:00,0,Twitter for iPhone,@officialjandor Time to be liberated
10,babao77,2023-01-01 21:02:11+00:00,0,Twitter for Android,@officialjandor What are you going to do differently
11,babao77,2023-01-01 21:00:56+00:00,0,Twitter for Android,@officialjandor Who public announcement of calumny help
12,SegunAdedoyin,2023-01-01 20:58:10+00:00,0,Twitter for Android,@officialjandor JaFun🙌🙌🙌
13,seyi_laleye,2023-01-01 20:46:58+00:00,1,Twitter for iPhone,@AdeyemiSammy1 @adedstv @officialjandor Borrow some shame even if you were not born with any https://t.co/UZTojsrbWO
14,ebohnnamdi1,2023-01-01 20:44:32+00:00,0,Twitter for Android,@officialjandor APC and PDP are bad market for Lagosians. Lagos will follow the rest of Nigerians to vote for competent leaders without baggages of avarice and shady history. GRV everyday!
15,lasunadep,2023-01-01 18:50:27+00:00,0,Twitter for Android,@officialjandor Bitting the finger that fed you. You had your tutelage under this same person you are castigating now. Shioorrr! Voters are wiser.
16,LawalTaoheedBa1,2023-01-01 18:21:57+00:00,3,Twitter for iPhone,"@officialjandor If jandor get 200k inec chairman suppose declare him as a winner,you don’t worth to be a governor you ké,truth is bitter sha,continue wasting your money sha"
17,EhisabheleA,2023-01-01 17:19:58+00:00,2,Twitter for Android,@JandorStudents Same here . wish you a far greater and prosperous new year . we will surely jolly when @officialjandor and atiku become the governor of Lagos and president of Nigeria .
18,SuperTee971,2023-01-01 16:35:45+00:00,7,Twitter for iPhone,"@officialjandor For the umpteenth time, this is not a good campaign strategy. E tun ma lu le again."
