,User,Date Created,Number of Likes,Source of Tweet,Tweet
0,ajokebaseerah,2023-01-01 23:01:57+00:00,0,Twitter for Android,"@Akmediaconcept Thank you SanwoOlu for the good work, I can't wait to vote you again &amp; again. (Mega city)"
1,CokerGrace4,2023-01-01 22:27:27+00:00,2,Twitter for iPhone,@tomakinta @officialABAT @OfficialAPCNg @Sanwoolu_Hamzat @jidesanwoolu JANDOR is taking over. #vote4jandor
2,QudusIbrahim33,2023-01-01 21:42:20+00:00,3,Twitter for Android,@tomakinta @officialABAT @OfficialAPCNg @Sanwoolu_Hamzat @jidesanwoolu #vote4jandon
3,Zedd_Ola27,2023-01-01 21:27:20+00:00,20,Twitter for Android,"At Alibaba's January 1st Concert 2023, for the best performing Governor in Nigeria, Babajide Olushola Sanwoolu. 
Thank you @OhjaySignature https://t.co/SPFQdbWb4i"
4,tomakinta,2023-01-01 21:13:36+00:00,22,Twitter Web App,"Dedicated to those still doubting..... @officialABAT @OfficialAPCNg  @Sanwoolu_Hamzat @jidesanwoolu  that Jandor is coming in as the 16th Governor of Lagos!

#Vote4Jandor https://t.co/1JWkMYSpT7"
5,wandeo,2023-01-01 20:26:29+00:00,0,Twitter Web App,@Sholexx_ @2DopeYabaleftme @kc_journalist @woye1 @cbngovakinsola @madachi_abba @Journalist_Mind @akerele_s @IU_Wakilii @asiwaju_wa @omomummynoni @AlwaysJayjam @jagabanolu Be knowledgeable. Ambode never abandoned. Even Sanwoolu has not completed Blue line. There is still 14km from Mile 2 to Okoko yet to be touched at all. Red line is not being constructed at all they are only sharing the tracks of the FG Lag-Ibadan rail. Read wide!!
6,Emmanue10O,2023-01-01 19:40:35+00:00,0,Twitter for Android,Keep asking d right questions. Lagos generate N51B IGR/month that's abt 2.4T in Sanwoolu's 4yrs rule apart frm FG allocation. Ask urself if Lagos looks it. Bala blu increased the IGR into his personal pocket &amp; he's feeding lagosian wt agbado
7,Heisolatunji,2023-01-01 19:28:56+00:00,1,Twitter for Android,@AriyoAyodeji4 Why you come be like sanwoolu for the first frame
8,mideloxine,2023-01-01 19:09:06+00:00,0,Twitter for Android,"Lmao. The whole APC including Sanwoolu are supporting Atiku, you didn't just know. Una go too cry next month."
9,lengceley,2023-01-01 18:35:50+00:00,0,Twitter for Android,@tajudine2013gm2 @ruffydfire Sanwoolu turned Lagos to the 5th largest economy not thiefnubu.. he had that opportunity but he chose to be a thief
10,azeez_adedo,2023-01-01 18:08:36+00:00,0,Twitter for iPhone,@TolulopeAbeey It won’t be a surprise if he becomes the governor after Jide Sanwoolu in 2027.
11,rer4life,2023-01-01 17:00:59+00:00,0,Twitter for Android,"@MyPVC4PeterObi @Morris_Monye Only Obi supporters will think Sanwoolu is the worst but Ortom, the Kerosene governor are better.."
12,rer4life,2023-01-01 16:58:55+00:00,0,Twitter for Android,@Miss_Chiseme @Morris_Monye So In essence Ortom is better than Sanwoolu.. Joker
